2,1,1,1.7,2.2,2.2,2.1,-0.9,-1.2,1.2,-1.9,-1.1,1.1,,,,,,,,,,,12.1,21.4,16.6
3,0.4,0.4,-0.4,0.6,0.6,2,2.1,2.1,2.1,0.3,-1,1,,,,,,,,,,,20,41.2,32.3
4,4.7,4.7,-1,1.4,1.4,0,0,-1.1,1.1,1.6,1.1,1.1,,,,,,,,,,,27.9,40.1,42.1
5,3.7,3.7,0.3,0.6,0.6,2.4,0.8,1.2,1.2,0.6,0.3,0.3,,,,,,,,,,,20.6,18.3,9.1
6,1.7,1.7,-1,-1.4,1.4,-0.9,-1.2,0.5,0.5,0.4,0.5,0.5,,,,,,,,,,,20,25.2,36.9
7,4.7,4.7,3.2,1.6,1.6,0,0.4,3.8,3.8,2.9,1.7,1.7,,,,,,,,,,,14.5,5.7,12
8,3.1,3.1,2.6,-0.7,0.7,1.1,1,2.4,2.4,3.1,1.1,1.1,,,,,,,,,,,0,16.1,32.3
9,3,3,1.6,0.5,0.5,2.1,0.5,0.8,0.8,1.6,1.1,1.1,,,,,,,,,,,18.4,54.8,62.7
,,2.7875,,,1.125,,,,1.6375,,,0.9875,,,,,,,,,,,,,
